#	year	left	match	right	title	topic
24	1987	Many bankers have seen most of their best customers -	low-risk	corporate borrowers - increasingly bypass banks by obtaining financing through the securities markets .	Banks Need Greater Flexibility Just to Survive	BANKS AND BANKING, STOCKS AND BONDS
25	1987	Options are relatively	low-risk	investments because if it is not advantageous to buy or sell the currency at the set price when the contract is set to mature , the investor can walk away and let the option contract expire , losing no more than the initial premium , which is a small fraction of the currency 's underlying price .	New Tricks for Old Exchange	STOCKS AND BONDS, OPTIONS TRADING, CURRENCY
26	1987		Low-Risk	Population Blood bank officials said that the new data were too limited to permit a prediction of how many , if any , donations of contaminated blood might be escaping detection .	NEW FINDING MADE ON AIDS DETECTION	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), RESEARCH, VIRUSES, TESTS AND TESTING, HOMOSEXUALITY
27	1987	But they said that because donations were drawn from such a	low-risk	population , any increase could only be slight . ''	NEW FINDING MADE ON AIDS DETECTION	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), RESEARCH, VIRUSES, TESTS AND TESTING, HOMOSEXUALITY
28	1987	My feeling is that since we 're dealing with such a	low-risk	population , there are probably not many individuals who will be affected , '' said Dr. Robert Reiss , director of clinical services at the Greater New York Blood Program .	NEW FINDING MADE ON AIDS DETECTION	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), RESEARCH, VIRUSES, TESTS AND TESTING, HOMOSEXUALITY
29	1987	If you get enough of these in a portfolio , it turns out to be a very	low-risk	way of investing . ''	Controlling the Risk in Mutual Funds	STOCKS AND BONDS, MUTUAL FUNDS
30	1987	Some analysts , however , are wary of even high-yield ,	low-risk	stocks because of the present volatility and uncertainty surrounding equities . ''	Market Place; High Dividends A Silver Lining	STOCKS AND BONDS, DIVIDENDS, STOCK PRICES AND TRADING VOLUME, INVESTMENT STRATEGIES
31	1987	They also said students considered themselves to be in a	low-risk	group for the disease .	At Dartmouth, A Helping Candor	SEX EDUCATION
32	1987	Although Dr. Prager acknowledges that he performs	low-risk	diagnostic procedures in patients afflicted with acquired immune deficiency syndrome , he fails to discuss the specifics of high-risk contagion that may occur during open-heart surgery .	Risk Is Too High in AIDS Patient Surgery	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), DOCTORS
33	1987	If a	low-risk	group - like blood donors in Peoria , for instance - were screened for AIDS by the Elisa test , with its positive results confirmed by the Western blot test , 89 people out of 100,000 would be labeled as carrying the virus .	A Treacherous Paradox: AIDS Tests	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), EDITORIALS, TESTS AND TESTING
34	1987	The Army has been testing military recruits , a	low-risk	group , for two years .	A Treacherous Paradox: AIDS Tests	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), EDITORIALS, TESTS AND TESTING
35	1987	This joint error rate , according to the Office of Technology Assessment , means that in screening a	low-risk	population , up to 90 percent of people confirmed by the two tests as infected will not be .	A Treacherous Paradox: AIDS Tests	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), EDITORIALS, TESTS AND TESTING
36	1987	The cost of screening	low-risk	populations could be over $ 50,000 for each true positive detected .	A Treacherous Paradox: AIDS Tests	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), EDITORIALS, TESTS AND TESTING
37	1987	As David C. Anderson points out -LRB- The Editorial Notebook : '' Jail Barge Blunder , '' Nov. 22 -RRB- , the boat is not suitable as a correctional facility and the	low-risk	inmates the city plans to confine there can be handled more effectively through alternative programs .	A Plan That's Seaworthier Than a Jail Barge	PRISONS AND PRISONERS, BARGES AND SCOWS
38	1987	Low-Risk Assets Encouraged Under the agreement , a bank would not be required to reserve the full 8 percent against the	low-risk	assets on its books , which generally constitute only a small portion of a bank 's portfolio .	12 Countries Want Banks to Increase Capital	BANKS AND BANKING, FEDERAL RESERVE SYSTEM, CREDIT, THIRD WORLD AND DEVELOPING COUNTRIES
39	1987	The lower reserves required on	low-risk	assets is an attempt to encourage banks to maintain higher levels of safe , liquid investments .	12 Countries Want Banks to Increase Capital	BANKS AND BANKING, FEDERAL RESERVE SYSTEM, CREDIT, THIRD WORLD AND DEVELOPING COUNTRIES
40	1987	But they are the	low-risk	option - particularly if the limits are set fairly wide . ''	Merc May Extend Daily Limits	STOCKS AND BONDS, STANDARD  POOR'S STOCK INDEX, FUTURES TRADING, OPTIONS TRADING
41	1987	But why estimate about false positive acquired immune deficiency syndrome tests in Peoria , Ill. , when actual tests of more than 250,000	low-risk	people have shown not one false positive in Minnesota !	The News on AIDS Testing From Minnesota	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), TESTS AND TESTING
42	1987	They have tested what you must concede is a	low-risk	population - voluntary blood donors !	The News on AIDS Testing From Minnesota	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), TESTS AND TESTING
43	1987	Yet , your editorial quotes new estimates made by Lawrence Miike of the Congressional Office of Technology Assessment , in which he theorized that if a	low-risk	group - like blood donors in Peoria , for instance - were screened for AIDS by the Elisa test , with its positive results confirmed by the Western blot test , then 80 people out of 100,000 would be falsely described as carriers of the virus !	The News on AIDS Testing From Minnesota	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), TESTS AND TESTING
44	1988	It 's a	low-risk	situation for playwrights , yet it gives their plays a baptism of fire . ''	Fledgling Plays Take First Flight, Ready or Not	THEATER
45	1988	The Tendency to Speed Dr. George C. Cunningham , chief of the genetic disease branch of the California Department of Health , said that the infant study would provide California '' the first hard data as to how far the AIDS virus has penetrated into what is generally regarded as a	low-risk	group , heterosexual women of child-bearing age . ''	Battling the Radar Busters	AUTOMOBILE INSURANCE AND LIABILITY, RADAR
46	1988	They also note that in a	low-risk	group like engaged couples , a large proportion of the positive results are false .	Pre-Nuptial AIDS Screening Taxes Illinois Health System	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), TESTS AND TESTING, LAW AND LEGISLATION, MARRIAGES
47	1988	In this extremely	low-risk	group , the benefits of aspirin stood out with unexpected vividness .	HEART ATTACK RISK FOUND TO BE CUT BY TAKING ASPIRIN	HEART, RESEARCH, ASPIRIN, DOCTORS, MEN
48	1988	In what he described as a	low-risk	attempt to increase profits , he bought '' six or seven relatively inexpensive films '' that were released last year . ''	Star Entertainer Loses Its Sparkle	COMPANY AND ORGANIZATION PROFILES
49	1988	Even in	low-risk	deals , where profits are normally not celestial , arbitragers have been raking in solid profits . ''	Golden Days for Arbitrage	STOCKS AND BONDS, MERGERS, ACQUISITIONS AND DIVESTITURES, ARBITRAGE
50	1988	Under the existing standard of care , monitoring is called for only for high-risk patients , but as a practical matter , it is commonly used on	low-risk	patients as well .	Despite Criticism, Fetal Monitors Are Likely to Remain in Wide Use	PREGNANCY AND OBSTETRICS
51	1988	The analogy of this	low-risk	plan to the success of the many short lines created since deregulation from formerly unprofitable branches of freight carriers , including several in New Jersey , is direct and irrefutable .	A Proposal for the Princeton Shuttle	RAILROADS, FARES, FINANCES, STATE AND LOCAL AID (US)
52	1988	And in response to a 1978 Supreme Court decision requiring OSHA to show probable cause to obtain a search warrant for inspections , the agency in 1979 began exempting	low-risk	manufacturing industries from routine inspections .	OSHA's Chief Denies 'Retreat From Safety	INDUSTRIAL AND OCCUPATIONAL HAZARDS, REGULATION AND DEREGULATION OF INDUSTRY, CONGRESSIONAL INVESTIGATIONS
53	1988	The odds of getting the virus are reduced to 1 in 5 billion if a condom is used with a	low-risk	partner who has been tested and found free of the virus , according to the study , which takes account of the slim possibility of misleading test results .	Researchers List Odds of Getting AIDS in Heterosexual Intercourse	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), RESEARCH, VIRUSES
54	1988	The San Francisco doctors calculated their estimates from existing data on the prevalence of the virus in various high - and	low-risk	groups , the risk of transmitting the virus in a single sexual encounter with an infected person and an assumption , admittedly a cautious one , that condoms were roughly 90 percent effective in preventing infection .	Researchers List Odds of Getting AIDS in Heterosexual Intercourse	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), RESEARCH, VIRUSES
55	1988	Their report found a '' tremendous variation '' in the degree of risk , depending on the circumstances , ranging from 1 in 5 billion for a	low-risk	partner to 1 in 500 in the most dangerous single encounters .	Researchers List Odds of Getting AIDS in Heterosexual Intercourse	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), RESEARCH, VIRUSES
56	1988	The odds are 1 in 500 under the most dangerous circumstances , with an infected partner without a condom , and 1 in 5 billion under the safest conditions , when a condom is used with a	low-risk	partner .	ANSWERS TO QUIZ	NEWS AND NEWS MEDIA
57	1988	Mr. Bacot saw in Irving a bank with no severe problems and a mix of businesses , especially in the	low-risk	field of securities processing , that would become even more profitable once the banks stopped duplicating each other 's efforts .	THE BITTER, AND BRACING, COURTSHIP OF IRVING BANK	MERGERS, ACQUISITIONS AND DIVESTITURES, STOCKS AND BONDS, TENDER OFFERS, COMPANY AND ORGANIZATION PROFILES, BANKS AND BANKING
58	1988	Already the Bank of New York 's securities processing contributes heavily to its fee income , which amounted to 36 percent of total revenues last year , and provides a	low-risk	, steady source of earnings .	THE BITTER, AND BRACING, COURTSHIP OF IRVING BANK	MERGERS, ACQUISITIONS AND DIVESTITURES, STOCKS AND BONDS, TENDER OFFERS, COMPANY AND ORGANIZATION PROFILES, BANKS AND BANKING
59	1988	This is not a	low-risk	sport . ''	OLYMPIC PROFILE: The Champion Club  Americans get finanicial help from a compnay based in South Korea; Foreign Aid for Americans	OLYMPIC GAMES (1988), BICYCLES, SUMMER GAMES (OLYMPICS)
60	1988	In 1986 our reviewer , Howard Frank Mosher , called the novel '' a timely , powerful antidote to the	low-risk	, low-intensity minimalist fiction so much in vogue these days . ''	New  Noteworthy	BOOKS AND LITERATURE
61	1988	Recently , Grace Maternity Hospital in Vancouver decreased access by ruling that	low-risk	maternity cases will not be delivered there even if the patient 's physician is on the staff .	What's Wrong With Massachusetts Health Plan; Long Waits in Canada	MEDICINE AND HEALTH
62	1988	The Army obtained blood and examined macrophages from more than 100	low-risk	people who donated blood to the Red Cross , and none had the virus , Dr. Meltzer said .	AIDS Virus Found to Hide in Cells, Eluding Detection by Normal Tests	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), RESEARCH, BLOOD, VIRUSES, TESTS AND TESTING
63	1988	With our balance of trade on the front burner of Congressional consciousness , it is hard to believe legislators would pass up this kind of	low-risk	, high-return investment in the United States economy .	World Bank Provides High-Return Investment	FINANCES, BUDGETS AND BUDGETING, THIRD WORLD AND DEVELOPING COUNTRIES, UNITED STATES ECONOMY
64	1988	Indeed , while the international accord is meant to increase the level of bank capital , it is also aimed at rewarding prudent banking , permitting banks to hold less capital against	low-risk	assets like Government securities .	Capital Plan Feared as a Burden on Banks	BANKS AND BANKING, REGULATION AND DEREGULATION OF INDUSTRY
65	1988	Because insurers have not collected the information to make fine distinctions between high - and	low-risk	doctors , premiums are crudely set for all doctors in the same specialty and region .	Body and Mind; Pluses of Malpractice Suits	MEDICINE AND HEALTH, MALPRACTICE, ETHICS, SUITS AND LITIGATION
66	1988	Among other considerations , Mr. Maccarone said , county corrections officials are studying increased use of electronic home detention for	low-risk	inmates and are also considering electronically monitored ankle cuffs for pretrial release of low-risk prisoners .	Judge Restricts County's Use of Inmate Lounges	PRISONS AND PRISONERS
67	1988	Among other considerations , Mr. Maccarone said , county corrections officials are studying increased use of electronic home detention for low-risk inmates and are also considering electronically monitored ankle cuffs for pretrial release of	low-risk	prisoners .	Judge Restricts County's Use of Inmate Lounges	PRISONS AND PRISONERS
68	1988	A bail fund , which would provide money for the release of	low-risk	, impoverished offenders , is also under consideration , he said . ''	Judge Restricts County's Use of Inmate Lounges	PRISONS AND PRISONERS
69	1988	Many specialists promote swimming and water aerobics as ideal	low-risk	activities for people who are significantly overweight .	Personal Health	EXERCISE, WEIGHT
70	1988	Researchers at Brown find that even by age 4 , children at risk drop by as much as 30 points on intelligence tests compared with	low-risk	children .	The Candidates and Poor Children; An Issue for the No-Issue Campaign	CHILDREN AND YOUTH, EDITORIALS, SURVEYS AND SERIES, ELECTION ISSUES, PRESIDENTIAL ELECTION OF 1988, ECONOMIC CONDITIONS AND TRENDS, FOOD, FEDERAL AID (US), PREGNANCY AND OBSTETRICS, MEDICINE AND HEALTH, EDUCATION AND SCHOOLS, EDUCATION (PRE-SCHOOL), MEDICAID (TITLE XIX OF FED MEDICARE LEGISLATION), IMMUNIZATION AND IMMUNITY
71	1988	Reasons for Accuracy Experts also stressed that there might be many other reasons why mass screening of	low-risk	populations for AIDS virus infection might be impractical or undesirable .	Health; Military Testing for AIDS Is Found to Be Highly Accurate	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), TESTS AND TESTING, UNITED STATES ARMAMENT AND DEFENSE, MILITARY PERSONNEL
72	1988	Making a grandfathering election is generally a	low-risk	strategy , '' he said .	Retirement-Plan Accumulations	TAXATION, PENSIONS, INDIVIDUAL RETIREMENT ACCOUNTS (IRA), TAX-SHELTERED INVESTMENTS, ANNUITIES, PROFIT SHARING, EXCISE TAXES, FEDERAL TAXES (US)
73	1988	For the city to spend $ 30 million to house 386	low-risk	offenders who , for a fraction of that , could have been placed under the jurisdiction of the probation system is the height of fiscal and political irresponsibility .	Spend Prison Barge Funds on Probation System	PRISONS AND PRISONERS, BARGES AND SCOWS, PROBATION AND PAROLE, CRIME AND CRIMINALS
74	1988	The last group may be presumed to have gained a level of stability and trustworthiness that would place them in a	low-risk	group .	Spend Prison Barge Funds on Probation System	PRISONS AND PRISONERS, BARGES AND SCOWS, PROBATION AND PAROLE, CRIME AND CRIMINALS
75	1988	Contrast the $ 30 million spent for a barge to house fewer than 400	low-risk	offenders against the $ 8.4 million appropriated over two years to upgrade the probation agency .	Spend Prison Barge Funds on Probation System	PRISONS AND PRISONERS, BARGES AND SCOWS, PROBATION AND PAROLE, CRIME AND CRIMINALS
76	1988	The $ 30 million to be wasted on an underused barge would upgrade the probation system for its intended purpose of providing maximum supervision of	low-risk	offenders and leave the very limited jail space to confine violent and serious criminals.WALLACE CHEATHAM , President United Probation Officers Assn. .	Spend Prison Barge Funds on Probation System	PRISONS AND PRISONERS, BARGES AND SCOWS, PROBATION AND PAROLE, CRIME AND CRIMINALS
77	1988	We run a high-risk offense and against Army we 'll be playing the opposite , a conservative ,	low-risk	offense . '' ''	College Football Notebook; Another Chance For a Nittany Lion	FOOTBALL, COLLEGE ATHLETICS
78	1988	A more important reason is the basic flight to quality by more and more domestic and foreign investors seeking longer-term	low-risk	investments .	Short-Term Rates Continue Up	CREDIT
79	1988	But now Contemporary is about to do an about-face , from the	low-risk	strategy of publishing books that make money for years to the high-risk strategy of producing commercial novels that can quickly become blockbusters - or just as quickly put the publisher behind the eight ball .	A Publisher Leaves Well Enough Behind	BOOKS AND LITERATURE, BOOK TRADE
80	1988	Contemporary Books is about to do an about-face , from a	low-risk	strategy of publishing books that make money for years to the risky approach of producing commercial novels .	BUSINESS DIGEST	_
81	1988	Either way , insurers would still have incentives to reward	low-risk	drivers with lower rates .	Economic Scene; Selling No-Fault Auto Insurance	AUTOMOBILE INSURANCE AND LIABILITY, NO-FAULT INSURANCE, SUITS AND LITIGATION
82	1989	They will also continue to derive fees under	low-risk	and lucrative advisory contracts .	Southmark's 2 Top Officers Step Down	SUSPENSIONS, DISMISSALS AND RESIGNATIONS, SUSPENSIONS, DISMISSALS AND RESIGNATIONS
83	1989	The Agency 's Response The agency found far fewer cases than the 120 it originally predicted and an even lower rate of infection among engaged couples than in other	low-risk	groups .	Philadelphia's Agency For Young Loses Permit	CHILD ABUSE, DEPARTMENTS AND AGENCIES, LICENSES, STATE AND LOCAL AID (US), FEDERAL AID (US)
84	1989	Heartbreak for Some As with testing of any	low-risk	population , the tests have yielded several results falsely indicating infection that have led some panicked and heartbroken couples to break off engagements or end pregnancies , physicians and AIDS specialists say . ''	Illinois Is Urged To Repeal Law For AIDS Tests	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), LAW AND LEGISLATION, TESTS AND TESTING, MARRIAGES, WEDDINGS AND ENGAGEMENTS
85	1989	Mr. Dunlap also said the company would increase capital spending but would focus exploration efforts in the next few years on	low-risk	ventures .	Texaco to Widen Sales of Properties	REFORM AND REORGANIZATION
86	1989	According to Professor Verbrugge , under the new regulations , savings and loan associations will be required to increase their capital to 6 percent of the tangible ,	low-risk	assets , thus forcing some institutions to restructure , with losses , their asset base .	Hard-Driving Banker Hits High-Rate Wall	BANKS AND BANKING, INVESTMENT STRATEGIES, COMPANY AND ORGANIZATION PROFILES, REGULATION AND DEREGULATION OF INDUSTRY, SAVINGS BANKS (MUTUAL), RATES, INTEREST (MONEY)
87	1989	A Low-Risk Investment Bernard Finegold , a tax partner at the accounting firm of Reich , Rosenberg , Finegold & Schweitzer in Bridgeport , said the fact that the bonds are double tax exempt and fully guaranteed makes them ideal for people looking for a	low-risk	investment .	Tax-Exempt College Bonds Planned	GOVERNMENT BONDS, FINANCES, COLLEGES AND UNIVERSITIES
88	1989	The money would be better spent on alternative programs for	low-risk	prisoners in the city 's jails .	We Need Wiser Use of Jails, Not More Cells	PRISONS AND PRISONERS
89	1989	William E. Donoghue will explain his method for achieving high returns through	low-risk	investing in two seminars Monday at the Westchester Marriott on Route 119 in Tarrytown .	WESTCHESTER GUIDE Z	_
90	1989	He described the move as a '' very	low-risk	practical decision by the Navy , '' even though the Soviet Union has a large and more varied force of short-range naval nuclear weapons . ''	NAVY PHASING OUT NUCLEAR ROCKETS FOR CLOSE COMBAT	SHIPS AND SHIPPING, MISSILES, ATOMIC WEAPONS, UNITED STATES ARMAMENT AND DEFENSE, NAVIES, FINANCES, BUDGETS AND BUDGETING
91	1989	I did n't want a big shot , or even a perfect shot , '' said Richer , who has been tempering his artistry in order to play the	low-risk	hockey the Canadiens use to smother their opponents .	Flames' Goalie Is Beaten And Beat	HOCKEY, ICE, PLAYOFF GAMES
92	1989	The S.E.C. charged that Mr. Hoglund had told victims he would place their money in	low-risk	, liquid and highly lucrative investments .	Broker Settles S.E.C. Charges	STOCKS AND BONDS, BROKERS AND BROKERAGE FIRMS, FRAUDS AND SWINDLING, ETHICS
93	1989	The screening schedule now recommended by the American College of Obstetricians and Gynecologists and the American Cancer Society is that any woman who is sexually active or is past age 18 should have a Pap smear every year , which she could reduce to every two or three years if -LRB- 1 -RRB- she has had three consecutive negative Pap smears ; -LRB- 2 -RRB- she is considered to be at	low-risk	for cervical cancer , essentially because she has had only one sex partner , and -LRB- 3 -RRB- her doctor recommends such a reduction .	Is the Pap Test Valid?	CANCER, TESTS AND TESTING, CERVIX, WOMEN, PAP TEST
94	1989	High Number of Officers The concentration of	low-risk	prisoners and high numbers of staff members is dictated largely by the alarms raised in virtually every neighborhood destined to play host to a prison barge .	For Inmates, the Living is Easier on 'Love Boat	PRISONS AND PRISONERS, BARGES AND SCOWS, BIBBY VENTURE (PRISON BARGE)
95	1989	But they prefer	low-risk	projects , sequels and remakes , follow-ups to proven success . ''	To Sci-Fi Writers Hollywood Is Mostly Alien	MOTION PICTURES, SCIENCE FICTION
96	1989	High-risk farms have been charged too little ;	low-risk	farms have been charged too much .	Throwing Dollars at Crop Insurance	AGRICULTURE, INSURANCE, REFORM AND REORGANIZATION, EDITORIALS
97	1989	The agency also found that the rate of infection among engaged couples was comparable to those of other	low-risk	groups .	Prenuptial tests for aids repealed	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), LAW AND LEGISLATION
98	1989	Symbol of a Troubled Tenure The incentives under Section 8 all but remove the likelihood of default in a co-insured mortgage , leaving the lender with a	low-risk	mortgage .	Lender Under Scrutiny Over Mortgages	HOUSING, MORTGAGES, FEDERAL AID (US)
99	1989	In cooperation with the New York State Department of Correctional Services , they began a program to train ''	low-risk	prisoners , '' those needing minimal supervision , in all aspects of horse care . ''	PROGRAM KEEPS INMATES ON TRACK	HORSE RACING, PRISONS AND PRISONERS
100	1989	Even before it took effect in January 1988 , the requirement was criticized by public-health experts who said it spent precious resources on a	low-risk	group .	Mandatory AIDS Test Is Repealed in Illinois	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), MARRIAGES, LAW AND LEGISLATION, TESTS AND TESTING
101	1989	Against the Lions , they will face a patient ,	low-risk	defense with several good players , notably Mike Cofer at outside linebacker and Chris Spielman at inside linebacker .	Giants' Defense Set For Run and Shoot	FOOTBALL
102	1989	It gives Oryx a	low-risk	entree into the international arena . ''	Market Place; Oryx Energy's Overseas Gamble	OIL (PETROLEUM) AND GASOLINE, FOREIGN INVESTMENTS
103	1989	Morton Lebow , a spokesman for the American College of Obstetrics and Gynecology , said that although the college viewed the report favorably over all , it questioned some of the advice to	low-risk	women .	Less Prenatal Care Urged For Most Healthy Women	PREGNANCY AND OBSTETRICS, PREMATURE BABIES, ALCOHOLISM, DRUG ADDICTION AND ABUSE, TESTS AND TESTING
104	1989	Dr. Rosen said the section of the report dealing with	low-risk	pregnancies was its most controversial part .	Less Prenatal Care Urged For Most Healthy Women	PREGNANCY AND OBSTETRICS, PREMATURE BABIES, ALCOHOLISM, DRUG ADDICTION AND ABUSE, TESTS AND TESTING
